,test_acc,test_f1
EI_over10,0.6991932385708798,0.7156203147674338
NS_over10,0.781021897810219,0.7983937267693534
FT_over10,0.7499039569727238,0.7502054189224127
JP_over10,0.6419515943142527,0.6436283511473652
EI_over50,0.6903572800614676,0.7092500005075101
NS_over50,0.7606607760276604,0.7844459665394291
FT_over50,0.7445255474452555,0.7448421690472066
JP_over50,0.6354206684594699,0.6377026926639354
EI_over100,0.6796004610065309,0.6992225851658064
NS_over100,0.752593161736458,0.7792980608936669
FT_over100,0.7414521705724164,0.7417810743527669
JP_over100,0.6262005378409528,0.6288116634301399
EI_over299,0.6611601997694967,0.6841496370324711
NS_over299,0.7264694583173261,0.7603118712506086
FT_over299,0.7429888590088359,0.7433392418983565
JP_over299,0.6204379562043796,0.6232183267042912
