,test_acc,test_f1
EI_over10,0.5950825970034576,0.6215075321043191
NS_over10,0.7276219746446408,0.7506910998920628
FT_over10,0.6019976949673453,0.6019592786636244
JP_over10,0.5286208221283135,0.5335846736183302
EI_over50,0.6577026507875529,0.6698297468742698
NS_over50,0.7072608528620822,0.741026968954623
FT_over50,0.6496350364963503,0.6501968379954487
JP_over50,0.5612754514022282,0.5657397046970875
EI_over100,0.6561659623511333,0.6721627439217565
NS_over100,0.7057241644256627,0.7380237072652402
FT_over100,0.6523242412600845,0.6529182350119556
JP_over100,0.5631963119477525,0.5679592271674445
EI_over299,0.6465616596235113,0.6678810915237045
NS_over299,0.6941990011525163,0.7335632390337898
FT_over299,0.6803688052247406,0.680841863178986
JP_over299,0.5758739915482136,0.579951192410183
