,test_acc,test_f1
EI_over10,0.7710334229734921,0.679431192278865
NS_over10,0.8624663849404534,0.7998932364306798
FT_over10,0.7172493276988091,0.7150067376208009
JP_over10,0.6404149058778332,0.593977576317967
EI_over50,0.7694967345370726,0.6766098155627868
NS_over50,0.8628505570495582,0.800813765978414
FT_over50,0.7160968113714944,0.714038550013178
JP_over50,0.635036496350365,0.5876278553756449
EI_over100,0.768344218209758,0.6739742133407324
NS_over100,0.8632347291586631,0.8010111513109553
FT_over100,0.7180176719170188,0.7158245088400015
JP_over100,0.6238955051863234,0.5737425313157094
EI_over299,0.7718017671917019,0.680506926532963
NS_over299,0.8628505570495582,0.800813765978414
FT_over299,0.7187860161352286,0.7167263171410942
JP_over299,0.6300422589320015,0.5789726789859998
