,cv_acc,cv_acc_err,cv_f1,cv_f1_err,cv_loss,cv_loss_err,test_acc,test_f1,type,data
EI_svd10,0.6493698347807813,0.022493430225442944,0.6625723942800367,0.017254351571010938,-0.6167078092208023,0.014251244620329676,0.6515558970418748,0.6665968679296944,EI,svd10
NS_svd10,0.7732236391617684,0.01360927664514019,0.7773692813411616,0.012177569363631032,-0.5060669015441637,0.0111105808876174,0.7614291202458702,0.769353076061884,NS,svd10
FT_svd10,0.696470396810869,0.02179048940775874,0.6965651507433028,0.021496117697169446,-0.5913010778430463,0.022173511186852346,0.6945831732616212,0.6945928851512267,FT,svd10
JP_svd10,0.5615953790143796,0.013131383605613986,0.5628317843551883,0.011948913617525377,-0.7031492750126771,0.006698637989780325,0.5658855167114868,0.5672246120728097,JP,svd10
EI_svd50,0.7144233598416282,0.018961794412393252,0.7061394442062314,0.017012120663354117,-0.5580947314012341,0.016955961310390788,0.7118709181713407,0.710675154932719,EI,svd50
NS_svd50,0.8300406098941704,0.005341585248978022,0.8099893182148374,0.005089811099706131,-0.42171641234701,0.005532965134516164,0.8205916250480215,0.8075805282259724,NS,svd50
FT_svd50,0.7220025626944901,0.01684864409430338,0.7219546599692952,0.01660489893721717,-0.5449776835428903,0.017716113802858677,0.720706876680753,0.7207157578678514,FT,svd50
JP_svd50,0.5968386655005729,0.009623522563774226,0.5953001289207874,0.01020317905321432,-0.6774760713882624,0.012155692916402533,0.5927775643488282,0.5936186237896707,JP,svd50
EI_svd100,0.7247998318655468,0.013805170771695366,0.7080737924517837,0.008902854022250543,-0.5487402928044718,0.017429868265699363,0.7260852862082213,0.7177090021331867,EI,svd100
NS_svd100,0.8437084494342411,0.0034088256573894696,0.8171056809615985,0.005893781779802591,-0.4052379997432601,0.005935954614278399,0.8359585094122167,0.8114924267156004,NS,svd100
FT_svd100,0.7248010521962562,0.022573204136324167,0.7246458862938896,0.022468675990953823,-0.5462945450507355,0.019164812397641957,0.7222435651171725,0.7224658192813105,FT,svd100
JP_svd100,0.5989796679344547,0.007860775746684577,0.5959855548594706,0.009201122547199904,-0.6728776712431579,0.003063881820065009,0.6150595466769112,0.6130472622878086,JP,svd100
EI_svd300,0.7524689324140176,0.008384947575079777,0.7212115998103463,0.010422513544363023,-0.5312855811511575,0.01138065277411772,0.7326162120630042,0.7093540007046427,EI,svd300
NS_svd300,0.8517791743784787,0.004554009297461984,0.8115009520469968,0.002907493329424723,-0.399542862261966,0.0035438896019648635,0.8432577794852094,0.8092513163876561,NS,svd300
FT_svd300,0.7101427108968752,0.017211462456572586,0.7098968597523181,0.016885435336193463,-0.5509484590812155,0.018187652481669394,0.720706876680753,0.7207504416198306,FT,svd300
JP_svd300,0.6126495413590416,0.01070863816762077,0.605624113232003,0.009597280173700342,-0.6641013152707579,0.010249424173740938,0.6135228582404917,0.6090555789734912,JP,svd300
