,test_acc,test_f1
EI_svd10,0.593545908567038,0.6253916179861783
NS_svd10,0.6085286208221283,0.6682034463083195
FT_svd10,0.6972723780253554,0.6976623092259453
JP_svd10,0.577794852093738,0.5816274812973885
EI_svd50,0.6354206684594699,0.6635227106851437
NS_svd50,0.6500192086054553,0.7033693224601365
FT_svd50,0.7356895889358432,0.7360744655170307
JP_svd50,0.6135228582404917,0.6170442831469648
EI_svd100,0.6477141759508259,0.6747298276020933
NS_svd100,0.6650019208605455,0.7152031693574813
FT_svd100,0.7356895889358432,0.7360924424570503
JP_svd100,0.6185170956588552,0.6214353171210173
EI_svd300,0.6492508643872454,0.6753927078110343
NS_svd300,0.6899731079523627,0.7350197863480149
FT_svd300,0.7472147522089896,0.7475237859412543
JP_svd300,0.6281213983864772,0.6307739702231334
