,test_acc,test_f1
EI_svd10,0.7595082597003457,0.6719606256149523
NS_svd10,0.8401844026123704,0.7970976635435676
FT_svd10,0.6830580099884749,0.6835994960053738
JP_svd10,0.6169804072224356,0.5833607674589492
EI_svd50,0.7514406454091433,0.6935908840524468
NS_svd50,0.819054936611602,0.7979057325024804
FT_svd50,0.657318478678448,0.6570936069034522
JP_svd50,0.6308106031502113,0.6099079464877424
EI_svd100,0.7376104494813677,0.6913592929900334
NS_svd100,0.8121398386477142,0.7972302347374854
FT_svd100,0.6542451018056089,0.6541889693175439
JP_svd100,0.6215904725316942,0.6044993771773949
EI_svd300,0.7222435651171725,0.7018000165481929
NS_svd300,0.8086822896657703,0.7971600112015017
FT_svd300,0.6561659623511333,0.6563087653038012
JP_svd300,0.6227429888590088,0.6143207559595093
