,test_acc,test_f1
EI_5_80,0.5920092201306185,0.6226790538495568
NS_5_80,0.6738378793699578,0.7175971142724991
FT_5_80,0.6150595466769112,0.6123540094506931
JP_5_80,0.5731847867844795,0.570551648781222
EI_10_100,0.6162120630042259,0.6429192870328713
NS_10_100,0.6941990011525163,0.7310335807441494
FT_10_100,0.6200537840952747,0.6174663864039209
JP_10_100,0.5831732616212063,0.5822560210441743
EI_100_1000,0.6811371494429505,0.6894404047291156
NS_100_1000,0.7929312331924703,0.7935317641696428
FT_100_1000,0.688820591625048,0.6882635992044952
JP_100_1000,0.5893200153668844,0.588491816682812
EI_300_5000,0.7137917787168652,0.7107399519367777
NS_300_5000,0.8213599692662312,0.8059224174354844
FT_300_5000,0.723780253553592,0.723323499743314
JP_300_5000,0.622358816749904,0.6183160384730115
