,test_acc,test_f1
EI_5_80,0.704955820207453,0.700953991343968
NS_5_80,0.8205916250480215,0.8044406240332251
FT_5_80,0.6592393392239724,0.6588239770501917
JP_5_80,0.5966192854398771,0.5941735007241478
EI_10_100,0.6845946984248944,0.689139176320093
NS_10_100,0.7875528236650019,0.7869261278085627
FT_10_100,0.6553976181329235,0.6552207730222038
JP_10_100,0.5993084902036112,0.5991389391574686
EI_100_1000,0.6500192086054553,0.6728246231272509
NS_100_1000,0.7552823665001921,0.7776036226067835
FT_100_1000,0.7061083365347676,0.7059787792066134
JP_100_1000,0.5866308106031503,0.5881906203130698
EI_300_5000,0.6592393392239724,0.6827331101491555
NS_300_5000,0.7233960814444871,0.7568172264289528
FT_300_5000,0.7330003841721091,0.7331193042055439
JP_300_5000,0.6131386861313869,0.6160627917880122
