,test_acc,test_f1
EI_5_80,0.6815213215520554,0.6789288042154061
NS_5_80,0.7837111025739532,0.7795730848459526
FT_5_80,0.5647330003841721,0.5649137777533034
JP_5_80,0.5443718786016135,0.549294027350797
EI_10_100,0.60315021129466,0.6286923020388662
NS_10_100,0.7345370726085286,0.7544537079987403
FT_10_100,0.5816365731847868,0.5805755538652853
JP_10_100,0.5351517479830964,0.5400230852009209
EI_100_1000,0.6630810603150211,0.6767909713785294
NS_100_1000,0.7034191317710334,0.7358380747955152
FT_100_1000,0.6377257011140991,0.6383439158187233
JP_100_1000,0.5543603534383403,0.5590204736674036
EI_300_5000,0.6431041106415675,0.6646737933480773
NS_300_5000,0.7041874759892431,0.7412979550693419
FT_300_5000,0.6769112562427968,0.6773856251977771
JP_300_5000,0.5758739915482136,0.5797668676957436
