,test_acc,test_f1
EI_5_80,0.7702650787552824,0.6735829584367917
NS_5_80,0.8628505570495582,0.800813765978414
FT_5_80,0.5862466384940453,0.5245312601643993
JP_5_80,0.609296965040338,0.5030031549936803
EI_10_100,0.7691125624279678,0.6715937610044831
NS_10_100,0.8628505570495582,0.800813765978414
FT_10_100,0.5966192854398771,0.5477370402412929
JP_10_100,0.6123703419131771,0.511925932391289
EI_100_1000,0.7675758739915483,0.6679795260730621
NS_100_1000,0.8620822128313484,0.7989685883430903
FT_100_1000,0.6684594698424894,0.6573560321853867
JP_100_1000,0.612754514022282,0.530339118694006
EI_300_5000,0.7691125624279678,0.6770756384984901
NS_300_5000,0.8616980407222435,0.7995024611011027
FT_300_5000,0.7095658855167115,0.7036125195404936
JP_300_5000,0.6388782174414137,0.5900217913668665
